,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,Seconds,LapStartSeconds,PitWindowTime
1,0 days 00:37:41.571000,16,0 days 00:01:49.672000,2,1,,,0 days 00:00:38.748000,0 days 00:00:44.755000,0 days 00:00:26.169000,0 days 00:36:30.647000,0 days 00:37:15.402000,0 days 00:37:41.571000,203.0,208.0,312.0,306.0,SOFT,5.0,False,0 days 00:35:51.899000,Ferrari,LEC,1,True,2021-06-06 12:05:51.908,109.67200000000001,2151.8990000000003,2177.3213478300004
2,0 days 00:39:30.317000,16,0 days 00:01:48.746000,3,1,,,0 days 00:00:39.233000,0 days 00:00:43.663000,0 days 00:00:25.850000,0 days 00:38:20.804000,0 days 00:39:04.467000,0 days 00:39:30.317000,206.0,208.0,317.0,312.0,SOFT,6.0,False,0 days 00:37:41.571000,Ferrari,LEC,1,True,2021-06-06 12:07:41.580,108.74600000000001,2261.5710000000004,2286.9933478300004
3,0 days 00:41:17.917000,16,0 days 00:01:47.600000,4,1,,,0 days 00:00:38.295000,0 days 00:00:43.425000,0 days 00:00:25.880000,0 days 00:40:08.612000,0 days 00:40:52.037000,0 days 00:41:17.917000,205.0,209.0,311.0,312.0,SOFT,7.0,False,0 days 00:39:30.317000,Ferrari,LEC,2,True,2021-06-06 12:09:30.326,107.60000000000001,2370.317,2395.73934783
4,0 days 00:43:05.177000,16,0 days 00:01:47.260000,5,1,,,0 days 00:00:38.028000,0 days 00:00:43.512000,0 days 00:00:25.720000,0 days 00:41:55.945000,0 days 00:42:39.457000,0 days 00:43:05.177000,209.0,218.0,325.0,315.0,SOFT,8.0,False,0 days 00:41:17.917000,Ferrari,LEC,1,True,2021-06-06 12:11:17.926,107.26,2477.9170000000004,2503.3393478300004
5,0 days 00:44:53.140000,16,0 days 00:01:47.963000,6,1,,,0 days 00:00:38.248000,0 days 00:00:43.488000,0 days 00:00:26.227000,0 days 00:43:43.425000,0 days 00:44:26.913000,0 days 00:44:53.140000,205.0,215.0,304.0,311.0,SOFT,9.0,False,0 days 00:43:05.177000,Ferrari,LEC,1,True,2021-06-06 12:13:05.186,107.96300000000001,2585.177,2610.59934783
6,0 days 00:46:41.751000,16,0 days 00:01:48.611000,7,1,,,0 days 00:00:39.027000,0 days 00:00:43.640000,0 days 00:00:25.944000,0 days 00:45:32.167000,0 days 00:46:15.807000,0 days 00:46:41.751000,204.0,215.0,307.0,313.0,SOFT,10.0,False,0 days 00:44:53.140000,Ferrari,LEC,1,True,2021-06-06 12:14:53.149,108.611,2693.1400000000003,2718.5623478300004
7,0 days 00:48:30.472000,16,0 days 00:01:48.721000,8,1,,,0 days 00:00:38.931000,0 days 00:00:43.897000,0 days 00:00:25.893000,0 days 00:47:20.682000,0 days 00:48:04.579000,0 days 00:48:30.472000,205.0,212.0,315.0,315.0,SOFT,11.0,False,0 days 00:46:41.751000,Ferrari,LEC,1,True,2021-06-06 12:16:41.760,108.721,2801.751,2827.1733478300002
8,0 days 00:50:22.295000,16,0 days 00:01:51.823000,9,1,,0 days 00:50:21.848000,0 days 00:00:38.195000,0 days 00:00:43.484000,0 days 00:00:30.144000,0 days 00:49:08.667000,0 days 00:49:52.151000,0 days 00:50:22.295000,210.0,216.0,,314.0,SOFT,12.0,False,0 days 00:48:30.472000,Ferrari,LEC,1,False,2021-06-06 12:18:30.481,111.82300000000001,2910.472,2935.8943478300002
9,0 days 00:52:25.733000,16,0 days 00:02:03.438000,10,2,0 days 00:50:40.883000,,0 days 00:00:54.133000,0 days 00:00:43.490000,0 days 00:00:25.815000,0 days 00:51:16.428000,0 days 00:51:59.918000,0 days 00:52:25.733000,210.0,223.0,316.0,312.0,HARD,,True,0 days 00:50:22.295000,Ferrari,LEC,1,False,2021-06-06 12:20:22.304,123.438,3022.295,3047.71734783
10,0 days 00:54:13.838000,16,0 days 00:01:48.105000,11,2,,,0 days 00:00:38.149000,0 days 00:00:43.454000,0 days 00:00:26.502000,0 days 00:53:03.882000,0 days 00:53:47.336000,0 days 00:54:13.838000,209.0,216.0,313.0,312.0,HARD,,True,0 days 00:52:25.733000,Ferrari,LEC,2,True,2021-06-06 12:22:25.742,108.105,3145.733,3171.15534783
11,0 days 00:56:02.924000,16,0 days 00:01:49.086000,12,2,,,0 days 00:00:38.962000,0 days 00:00:44.251000,0 days 00:00:25.873000,0 days 00:54:52.800000,0 days 00:55:37.051000,0 days 00:56:02.924000,196.0,214.0,311.0,316.0,HARD,,True,0 days 00:54:13.838000,Ferrari,LEC,1,True,2021-06-06 12:24:13.847,109.08600000000001,3253.838,3279.2603478300002
12,0 days 00:57:50.963000,16,0 days 00:01:48.039000,13,2,,,0 days 00:00:38.500000,0 days 00:00:43.785000,0 days 00:00:25.754000,0 days 00:56:41.424000,0 days 00:57:25.209000,0 days 00:57:50.963000,207.0,216.0,315.0,316.0,HARD,,True,0 days 00:56:02.924000,Ferrari,LEC,1,True,2021-06-06 12:26:02.933,108.039,3362.9240000000004,3388.3463478300005
13,0 days 00:59:38.637000,16,0 days 00:01:47.674000,14,2,,,0 days 00:00:38.373000,0 days 00:00:43.494000,0 days 00:00:25.807000,0 days 00:58:29.336000,0 days 00:59:12.830000,0 days 00:59:38.637000,206.0,217.0,318.0,314.0,HARD,,True,0 days 00:57:50.963000,Ferrari,LEC,1,True,2021-06-06 12:27:50.972,107.674,3470.963,3496.3853478300002
14,0 days 01:01:25.909000,16,0 days 00:01:47.272000,15,2,,,0 days 00:00:38.107000,0 days 00:00:43.280000,0 days 00:00:25.885000,0 days 01:00:16.744000,0 days 01:01:00.024000,0 days 01:01:25.909000,205.0,210.0,316.0,312.0,HARD,,True,0 days 00:59:38.637000,Ferrari,LEC,1,True,2021-06-06 12:29:38.646,107.272,3578.637,3604.05934783
15,0 days 01:03:13.149000,16,0 days 00:01:47.240000,16,2,,,0 days 00:00:38.036000,0 days 00:00:43.313000,0 days 00:00:25.891000,0 days 01:02:03.945000,0 days 01:02:47.258000,0 days 01:03:13.149000,,213.0,317.0,313.0,HARD,,True,0 days 01:01:25.909000,Ferrari,LEC,1,True,2021-06-06 12:31:25.918,107.24000000000001,3685.909,3711.33134783
16,0 days 01:05:00.723000,16,0 days 00:01:47.574000,17,2,,,0 days 00:00:38.166000,0 days 00:00:43.466000,0 days 00:00:25.942000,0 days 01:03:51.315000,0 days 01:04:34.781000,0 days 01:05:00.723000,202.0,206.0,316.0,312.0,HARD,,True,0 days 01:03:13.149000,Ferrari,LEC,1,True,2021-06-06 12:33:13.158,107.57400000000001,3793.1490000000003,3818.5713478300004
17,0 days 01:06:47.927000,16,0 days 00:01:47.204000,18,2,,,0 days 00:00:38.084000,0 days 00:00:43.334000,0 days 00:00:25.786000,0 days 01:05:38.807000,0 days 01:06:22.141000,0 days 01:06:47.927000,212.0,205.0,316.0,314.0,HARD,,True,0 days 01:05:00.723000,Ferrari,LEC,1,True,2021-06-06 12:35:00.732,107.20400000000001,3900.7230000000004,3926.1453478300004
18,0 days 01:08:35.213000,16,0 days 00:01:47.286000,19,2,,,0 days 00:00:38.200000,0 days 00:00:43.183000,0 days 00:00:25.903000,0 days 01:07:26.127000,0 days 01:08:09.310000,0 days 01:08:35.213000,204.0,210.0,316.0,312.0,HARD,,True,0 days 01:06:47.927000,Ferrari,LEC,1,True,2021-06-06 12:36:47.936,107.286,4007.927,4033.34934783
19,0 days 01:10:22.395000,16,0 days 00:01:47.182000,20,2,,,0 days 00:00:37.962000,0 days 00:00:43.212000,0 days 00:00:26.008000,0 days 01:09:13.175000,0 days 01:09:56.387000,0 days 01:10:22.395000,207.0,211.0,316.0,311.0,HARD,,True,0 days 01:08:35.213000,Ferrari,LEC,1,True,2021-06-06 12:38:35.222,107.182,4115.213000000001,4140.635347830001
20,0 days 01:12:09.653000,16,0 days 00:01:47.258000,21,2,,,0 days 00:00:38.137000,0 days 00:00:43.155000,0 days 00:00:25.966000,0 days 01:11:00.532000,0 days 01:11:43.687000,0 days 01:12:09.653000,208.0,213.0,314.0,312.0,HARD,,True,0 days 01:10:22.395000,Ferrari,LEC,1,True,2021-06-06 12:40:22.404,107.25800000000001,4222.395,4247.8173478300005
21,0 days 01:13:56.165000,16,0 days 00:01:46.512000,22,2,,,0 days 00:00:37.823000,0 days 00:00:42.845000,0 days 00:00:25.844000,0 days 01:12:47.476000,0 days 01:13:30.321000,0 days 01:13:56.165000,205.0,209.0,315.0,311.0,HARD,,True,0 days 01:12:09.653000,Ferrari,LEC,1,True,2021-06-06 12:42:09.662,106.512,4329.653,4355.07534783
22,0 days 01:15:42.523000,16,0 days 00:01:46.358000,23,2,,,0 days 00:00:37.791000,0 days 00:00:42.791000,0 days 00:00:25.776000,0 days 01:14:33.956000,0 days 01:15:16.747000,0 days 01:15:42.523000,214.0,214.0,315.0,313.0,HARD,,True,0 days 01:13:56.165000,Ferrari,LEC,2,True,2021-06-06 12:43:56.174,106.358,4436.165,4461.58734783
23,0 days 01:17:29.015000,16,0 days 00:01:46.492000,24,2,,,0 days 00:00:37.740000,0 days 00:00:42.939000,0 days 00:00:25.813000,0 days 01:16:20.263000,0 days 01:17:03.202000,0 days 01:17:29.015000,219.0,211.0,316.0,314.0,HARD,,True,0 days 01:15:42.523000,Ferrari,LEC,2,True,2021-06-06 12:45:42.532,106.492,4542.523,4567.94534783
24,0 days 01:19:15.656000,16,0 days 00:01:46.641000,25,2,,,0 days 00:00:37.855000,0 days 00:00:43.038000,0 days 00:00:25.748000,0 days 01:18:06.870000,0 days 01:18:49.908000,0 days 01:19:15.656000,211.0,214.0,318.0,312.0,HARD,,True,0 days 01:17:29.015000,Ferrari,LEC,2,True,2021-06-06 12:47:29.024,106.641,4649.015,4674.43734783
25,0 days 01:21:02.043000,16,0 days 00:01:46.387000,26,2,,,0 days 00:00:37.744000,0 days 00:00:42.922000,0 days 00:00:25.721000,0 days 01:19:53.400000,0 days 01:20:36.322000,0 days 01:21:02.043000,214.0,216.0,319.0,313.0,HARD,,True,0 days 01:19:15.656000,Ferrari,LEC,1,True,2021-06-06 12:49:15.665,106.387,4755.656,4781.07834783
26,0 days 01:22:48.712000,16,0 days 00:01:46.669000,27,2,,,0 days 00:00:37.874000,0 days 00:00:43.058000,0 days 00:00:25.737000,0 days 01:21:39.917000,0 days 01:22:22.975000,0 days 01:22:48.712000,212.0,211.0,318.0,313.0,HARD,,True,0 days 01:21:02.043000,Ferrari,LEC,1,True,2021-06-06 12:51:02.052,106.66900000000001,4862.043000000001,4887.465347830001
27,0 days 01:24:35.228000,16,0 days 00:01:46.516000,28,2,,,0 days 00:00:37.798000,0 days 00:00:43.015000,0 days 00:00:25.703000,0 days 01:23:26.510000,0 days 01:24:09.525000,0 days 01:24:35.228000,211.0,216.0,319.0,313.0,HARD,,True,0 days 01:22:48.712000,Ferrari,LEC,1,True,2021-06-06 12:52:48.721,106.516,4968.712,4994.1343478300005
28,0 days 01:26:21.406000,16,0 days 00:01:46.178000,29,2,,,0 days 00:00:37.630000,0 days 00:00:42.890000,0 days 00:00:25.658000,0 days 01:25:12.858000,0 days 01:25:55.748000,0 days 01:26:21.406000,209.0,218.0,321.0,316.0,HARD,,True,0 days 01:24:35.228000,Ferrari,LEC,1,True,2021-06-06 12:54:35.237,106.17800000000001,5075.228,5100.65034783
29,0 days 01:28:07.884000,16,0 days 00:01:46.478000,30,2,,,0 days 00:00:37.685000,0 days 00:00:42.998000,0 days 00:00:25.795000,0 days 01:26:59.091000,0 days 01:27:42.089000,0 days 01:28:07.884000,206.0,212.0,300.0,317.0,HARD,,True,0 days 01:26:21.406000,Ferrari,LEC,2,True,2021-06-06 12:56:21.415,106.47800000000001,5181.406,5206.82834783
30,0 days 01:30:27.402000,16,0 days 00:02:19.518000,31,2,,,0 days 00:00:45.696000,0 days 00:00:52.937000,0 days 00:00:40.885000,0 days 01:28:53.580000,0 days 01:29:46.517000,0 days 01:30:27.402000,159.0,170.0,260.0,167.0,HARD,,True,0 days 01:28:07.884000,Ferrari,LEC,24,False,2021-06-06 12:58:07.893,139.518,5287.884,5313.30634783
35,0 days 01:43:56.689000,16,0 days 00:01:52.944000,36,2,,,0 days 00:00:42.184000,0 days 00:00:45.199000,0 days 00:00:25.561000,0 days 01:42:45.929000,0 days 01:43:31.128000,0 days 01:43:56.689000,179.0,199.0,319.0,317.0,HARD,53.0,True,0 days 01:42:03.745000,Ferrari,LEC,1,False,2021-06-06 13:12:03.754,112.944,6123.745000000001,6149.167347830001
36,0 days 01:45:44.352000,16,0 days 00:01:47.663000,37,2,,,0 days 00:00:38.716000,0 days 00:00:43.710000,0 days 00:00:25.237000,0 days 01:44:35.405000,0 days 01:45:19.115000,0 days 01:45:44.352000,204.0,212.0,324.0,320.0,HARD,54.0,True,0 days 01:43:56.689000,Ferrari,LEC,1,True,2021-06-06 13:13:56.698,107.66300000000001,6236.689,6262.11134783
37,0 days 01:47:31.238000,16,0 days 00:01:46.886000,38,2,,,0 days 00:00:38.153000,0 days 00:00:43.165000,0 days 00:00:25.568000,0 days 01:46:22.505000,0 days 01:47:05.670000,0 days 01:47:31.238000,203.0,215.0,318.0,316.0,HARD,55.0,True,0 days 01:45:44.352000,Ferrari,LEC,1,True,2021-06-06 13:15:44.361,106.88600000000001,6344.352000000001,6369.774347830001
38,0 days 01:49:17.043000,16,0 days 00:01:45.805000,39,2,,,0 days 00:00:37.724000,0 days 00:00:42.636000,0 days 00:00:25.445000,0 days 01:48:08.962000,0 days 01:48:51.598000,0 days 01:49:17.043000,205.0,220.0,316.0,317.0,HARD,56.0,True,0 days 01:47:31.238000,Ferrari,LEC,1,True,2021-06-06 13:17:31.247,105.805,6451.238,6476.66034783
39,0 days 01:51:02.796000,16,0 days 00:01:45.753000,40,2,,,0 days 00:00:37.542000,0 days 00:00:42.664000,0 days 00:00:25.547000,0 days 01:49:54.585000,0 days 01:50:37.249000,0 days 01:51:02.796000,211.0,213.0,311.0,315.0,HARD,57.0,True,0 days 01:49:17.043000,Ferrari,LEC,1,True,2021-06-06 13:19:17.052,105.753,6557.043000000001,6582.465347830001
40,0 days 01:52:48.528000,16,0 days 00:01:45.732000,41,2,,,0 days 00:00:37.582000,0 days 00:00:42.562000,0 days 00:00:25.588000,0 days 01:51:40.378000,0 days 01:52:22.940000,0 days 01:52:48.528000,214.0,216.0,316.0,315.0,HARD,58.0,True,0 days 01:51:02.796000,Ferrari,LEC,1,True,2021-06-06 13:21:02.805,105.73200000000001,6662.796,6688.21834783
41,0 days 01:54:34.240000,16,0 days 00:01:45.712000,42,2,,,0 days 00:00:37.549000,0 days 00:00:42.501000,0 days 00:00:25.662000,0 days 01:53:26.077000,0 days 01:54:08.578000,0 days 01:54:34.240000,216.0,224.0,317.0,313.0,HARD,59.0,True,0 days 01:52:48.528000,Ferrari,LEC,1,True,2021-06-06 13:22:48.537,105.712,6768.528,6793.95034783
42,0 days 01:56:19.834000,16,0 days 00:01:45.594000,43,2,,,0 days 00:00:37.422000,0 days 00:00:42.523000,0 days 00:00:25.649000,0 days 01:55:11.662000,0 days 01:55:54.185000,0 days 01:56:19.834000,213.0,217.0,316.0,315.0,HARD,60.0,True,0 days 01:54:34.240000,Ferrari,LEC,1,True,2021-06-06 13:24:34.249,105.59400000000001,6874.240000000001,6899.662347830001
43,0 days 01:58:05.614000,16,0 days 00:01:45.780000,44,2,,,0 days 00:00:37.379000,0 days 00:00:42.764000,0 days 00:00:25.637000,0 days 01:56:57.213000,0 days 01:57:39.977000,0 days 01:58:05.614000,214.0,221.0,316.0,314.0,HARD,61.0,True,0 days 01:56:19.834000,Ferrari,LEC,1,True,2021-06-06 13:26:19.843,105.78,6979.834000000001,7005.256347830001
44,0 days 01:59:51.152000,16,0 days 00:01:45.538000,45,2,,,0 days 00:00:37.351000,0 days 00:00:42.424000,0 days 00:00:25.763000,0 days 01:58:42.965000,0 days 01:59:25.389000,0 days 01:59:51.152000,215.0,214.0,316.0,314.0,HARD,62.0,True,0 days 01:58:05.614000,Ferrari,LEC,1,True,2021-06-06 13:28:05.623,105.53800000000001,7085.6140000000005,7111.0363478300005
45,0 days 02:01:36.534000,16,0 days 00:01:45.382000,46,2,,,0 days 00:00:37.246000,0 days 00:00:42.349000,0 days 00:00:25.787000,0 days 02:00:28.398000,0 days 02:01:10.747000,0 days 02:01:36.534000,220.0,219.0,298.0,312.0,HARD,63.0,True,0 days 01:59:51.152000,Ferrari,LEC,1,True,2021-06-06 13:29:51.161,105.382,7191.152,7216.57434783
46,0 days 02:03:49.872000,16,0 days 00:02:13.338000,47,2,,0 days 02:03:48.561000,0 days 00:00:38.231000,0 days 00:00:49.004000,0 days 00:00:46.103000,0 days 02:02:14.765000,0 days 02:03:03.769000,0 days 02:03:49.872000,210.0,128.0,,207.0,HARD,64.0,True,0 days 02:01:36.534000,Ferrari,LEC,24,False,2021-06-06 13:31:36.543,133.33800000000002,7296.534000000001,7321.956347830001
50,0 days 02:47:40.005000,16,0 days 00:01:46.692000,51,4,,,0 days 00:00:38.809000,0 days 00:00:42.550000,0 days 00:00:25.333000,0 days 02:46:32.122000,0 days 02:47:14.672000,0 days 02:47:40.005000,213.0,212.0,312.0,316.0,SOFT,5.0,False,0 days 02:45:53.313000,Ferrari,LEC,1,True,2021-06-06 14:15:53.322,106.69200000000001,9953.313,9978.73534783
52,0 days 00:37:41.496000,44,0 days 00:01:49.236000,2,1,,,0 days 00:00:39.121000,0 days 00:00:44.561000,0 days 00:00:25.554000,0 days 00:36:31.381000,0 days 00:37:15.942000,0 days 00:37:41.496000,193.0,212.0,312.0,324.0,SOFT,6.0,False,0 days 00:35:52.260000,Mercedes,HAM,1,True,2021-06-06 12:05:52.269,109.236,2152.26,2177.6823478300003
53,0 days 00:39:29.556000,44,0 days 00:01:48.060000,3,1,,,0 days 00:00:38.575000,0 days 00:00:43.386000,0 days 00:00:26.099000,0 days 00:38:20.071000,0 days 00:39:03.457000,0 days 00:39:29.556000,213.0,213.0,301.0,307.0,SOFT,7.0,False,0 days 00:37:41.496000,Mercedes,HAM,1,True,2021-06-06 12:07:41.505,108.06,2261.496,2286.91834783
54,0 days 00:41:17.018000,44,0 days 00:01:47.462000,4,1,,,0 days 00:00:38.260000,0 days 00:00:43.186000,0 days 00:00:26.016000,0 days 00:40:07.816000,0 days 00:40:51.002000,0 days 00:41:17.018000,204.0,227.0,303.0,307.0,SOFT,8.0,False,0 days 00:39:29.556000,Mercedes,HAM,2,True,2021-06-06 12:09:29.565,107.462,2369.556,2394.97834783
55,0 days 00:43:04.660000,44,0 days 00:01:47.642000,5,1,,,0 days 00:00:38.170000,0 days 00:00:43.427000,0 days 00:00:26.045000,0 days 00:41:55.188000,0 days 00:42:38.615000,0 days 00:43:04.660000,201.0,224.0,299.0,308.0,SOFT,9.0,False,0 days 00:41:17.018000,Mercedes,HAM,1,True,2021-06-06 12:11:17.027,107.64200000000001,2477.018,2502.44034783
56,0 days 00:44:52.054000,44,0 days 00:01:47.394000,6,1,,,0 days 00:00:38.029000,0 days 00:00:43.170000,0 days 00:00:26.195000,0 days 00:43:42.689000,0 days 00:44:25.859000,0 days 00:44:52.054000,213.0,229.0,306.0,305.0,SOFT,10.0,False,0 days 00:43:04.660000,Mercedes,HAM,1,True,2021-06-06 12:13:04.669,107.394,2584.6600000000003,2610.0823478300003
57,0 days 00:46:39.110000,44,0 days 00:01:47.056000,7,1,,,0 days 00:00:37.927000,0 days 00:00:42.899000,0 days 00:00:26.230000,0 days 00:45:29.981000,0 days 00:46:12.880000,0 days 00:46:39.110000,212.0,227.0,305.0,307.0,SOFT,11.0,False,0 days 00:44:52.054000,Mercedes,HAM,1,True,2021-06-06 12:14:52.063,107.05600000000001,2692.054,2717.47634783
58,0 days 00:48:26.194000,44,0 days 00:01:47.084000,8,1,,,0 days 00:00:37.920000,0 days 00:00:43.013000,0 days 00:00:26.151000,0 days 00:47:17.030000,0 days 00:48:00.043000,0 days 00:48:26.194000,,225.0,303.0,306.0,SOFT,12.0,False,0 days 00:46:39.110000,Mercedes,HAM,1,True,2021-06-06 12:16:39.119,107.084,2799.11,2824.53234783
59,0 days 00:50:13.593000,44,0 days 00:01:47.399000,9,1,,,0 days 00:00:38.099000,0 days 00:00:43.193000,0 days 00:00:26.107000,0 days 00:49:04.293000,0 days 00:49:47.486000,0 days 00:50:13.593000,206.0,222.0,303.0,306.0,SOFT,13.0,False,0 days 00:48:26.194000,Mercedes,HAM,1,True,2021-06-06 12:18:26.203,107.399,2906.194,2931.61634783
60,0 days 00:52:01.034000,44,0 days 00:01:47.441000,10,1,,,0 days 00:00:38.118000,0 days 00:00:43.263000,0 days 00:00:26.060000,0 days 00:50:51.711000,0 days 00:51:34.974000,0 days 00:52:01.034000,210.0,219.0,306.0,305.0,SOFT,14.0,False,0 days 00:50:13.593000,Mercedes,HAM,1,True,2021-06-06 12:20:13.602,107.441,3013.5930000000003,3039.0153478300003
61,0 days 00:53:52.252000,44,0 days 00:01:51.218000,11,1,,0 days 00:53:50.882000,0 days 00:00:38.089000,0 days 00:00:43.087000,0 days 00:00:30.042000,0 days 00:52:39.123000,0 days 00:53:22.210000,0 days 00:53:52.252000,207.0,221.0,,306.0,SOFT,15.0,False,0 days 00:52:01.034000,Mercedes,HAM,2,False,2021-06-06 12:22:01.043,111.218,3121.034,3146.45634783
62,0 days 00:55:58.935000,44,0 days 00:02:06.683000,12,2,0 days 00:54:13.440000,,0 days 00:00:57.058000,0 days 00:00:43.628000,0 days 00:00:25.997000,0 days 00:54:49.310000,0 days 00:55:32.938000,0 days 00:55:58.935000,193.0,222.0,300.0,308.0,HARD,1.0,True,0 days 00:53:52.252000,Mercedes,HAM,1,False,2021-06-06 12:23:52.261,126.683,3232.2520000000004,3257.6743478300004
63,0 days 00:57:45.535000,44,0 days 00:01:46.600000,13,2,,,0 days 00:00:38.018000,0 days 00:00:43.028000,0 days 00:00:25.554000,0 days 00:56:36.953000,0 days 00:57:19.981000,0 days 00:57:45.535000,208.0,225.0,308.0,314.0,HARD,2.0,True,0 days 00:55:58.935000,Mercedes,HAM,1,True,2021-06-06 12:25:58.944,106.60000000000001,3358.9350000000004,3384.3573478300004
64,0 days 00:59:32.205000,44,0 days 00:01:46.670000,14,2,,,0 days 00:00:38.316000,0 days 00:00:43.403000,0 days 00:00:24.951000,0 days 00:58:23.851000,0 days 00:59:07.254000,0 days 00:59:32.205000,193.0,227.0,340.0,321.0,HARD,3.0,True,0 days 00:57:45.535000,Mercedes,HAM,1,True,2021-06-06 12:27:45.544,106.67,3465.5350000000003,3490.9573478300003
65,0 days 01:01:19.118000,44,0 days 00:01:46.913000,15,2,,,0 days 00:00:38.225000,0 days 00:00:43.216000,0 days 00:00:25.472000,0 days 01:00:10.430000,0 days 01:00:53.646000,0 days 01:01:19.118000,202.0,225.0,310.0,317.0,HARD,4.0,True,0 days 00:59:32.205000,Mercedes,HAM,1,True,2021-06-06 12:29:32.214,106.91300000000001,3572.2050000000004,3597.6273478300004
66,0 days 01:03:04.793000,44,0 days 00:01:45.675000,16,2,,,0 days 00:00:37.708000,0 days 00:00:42.729000,0 days 00:00:25.238000,0 days 01:01:56.826000,0 days 01:02:39.555000,0 days 01:03:04.793000,210.0,229.0,322.0,320.0,HARD,5.0,True,0 days 01:01:19.118000,Mercedes,HAM,1,True,2021-06-06 12:31:19.127,105.67500000000001,3679.1180000000004,3704.5403478300004
67,0 days 01:04:50.938000,44,0 days 00:01:46.145000,17,2,,,0 days 00:00:37.848000,0 days 00:00:42.982000,0 days 00:00:25.315000,0 days 01:03:42.641000,0 days 01:04:25.623000,0 days 01:04:50.938000,202.0,225.0,319.0,319.0,HARD,6.0,True,0 days 01:03:04.793000,Mercedes,HAM,1,True,2021-06-06 12:33:04.802,106.14500000000001,3784.793,3810.21534783
68,0 days 01:06:36.701000,44,0 days 00:01:45.763000,18,2,,,0 days 00:00:37.842000,0 days 00:00:42.987000,0 days 00:00:24.934000,0 days 01:05:28.780000,0 days 01:06:11.767000,0 days 01:06:36.701000,203.0,224.0,339.0,322.0,HARD,7.0,True,0 days 01:04:50.938000,Mercedes,HAM,1,True,2021-06-06 12:34:50.947,105.763,3890.938,3916.36034783
69,0 days 01:08:22.930000,44,0 days 00:01:46.229000,19,2,,,0 days 00:00:37.907000,0 days 00:00:43.039000,0 days 00:00:25.283000,0 days 01:07:14.608000,0 days 01:07:57.647000,0 days 01:08:22.930000,210.0,231.0,318.0,319.0,HARD,8.0,True,0 days 01:06:36.701000,Mercedes,HAM,1,True,2021-06-06 12:36:36.710,106.22900000000001,3996.701,4022.12334783
70,0 days 01:10:08.840000,44,0 days 00:01:45.910000,20,2,,,0 days 00:00:37.684000,0 days 00:00:42.952000,0 days 00:00:25.274000,0 days 01:09:00.614000,0 days 01:09:43.566000,0 days 01:10:08.840000,208.0,224.0,319.0,318.0,HARD,9.0,True,0 days 01:08:22.930000,Mercedes,HAM,1,True,2021-06-06 12:38:22.939,105.91000000000001,4102.93,4128.35234783
71,0 days 01:11:54.654000,44,0 days 00:01:45.814000,21,2,,,0 days 00:00:37.714000,0 days 00:00:42.759000,0 days 00:00:25.341000,0 days 01:10:46.554000,0 days 01:11:29.313000,0 days 01:11:54.654000,203.0,234.0,316.0,318.0,HARD,10.0,True,0 days 01:10:08.840000,Mercedes,HAM,1,True,2021-06-06 12:40:08.849,105.81400000000001,4208.84,4234.26234783
72,0 days 01:13:40.770000,44,0 days 00:01:46.116000,22,2,,,0 days 00:00:37.833000,0 days 00:00:42.939000,0 days 00:00:25.344000,0 days 01:12:32.487000,0 days 01:13:15.426000,0 days 01:13:40.770000,212.0,226.0,317.0,319.0,HARD,11.0,True,0 days 01:11:54.654000,Mercedes,HAM,1,True,2021-06-06 12:41:54.663,106.116,4314.654,4340.0763478300005
73,0 days 01:15:27.149000,44,0 days 00:01:46.379000,23,2,,,0 days 00:00:37.899000,0 days 00:00:43.027000,0 days 00:00:25.453000,0 days 01:14:18.669000,0 days 01:15:01.696000,0 days 01:15:27.149000,200.0,222.0,311.0,317.0,HARD,12.0,True,0 days 01:13:40.770000,Mercedes,HAM,1,True,2021-06-06 12:43:40.779,106.379,4420.77,4446.1923478300005
74,0 days 01:17:13.432000,44,0 days 00:01:46.283000,24,2,,,0 days 00:00:37.870000,0 days 00:00:42.949000,0 days 00:00:25.464000,0 days 01:16:05.019000,0 days 01:16:47.968000,0 days 01:17:13.432000,207.0,230.0,317.0,316.0,HARD,13.0,True,0 days 01:15:27.149000,Mercedes,HAM,2,True,2021-06-06 12:45:27.158,106.283,4527.149,4552.57134783
75,0 days 01:18:59.052000,44,0 days 00:01:45.620000,25,2,,,0 days 00:00:37.549000,0 days 00:00:42.555000,0 days 00:00:25.516000,0 days 01:17:50.981000,0 days 01:18:33.536000,0 days 01:18:59.052000,211.0,219.0,314.0,314.0,HARD,14.0,True,0 days 01:17:13.432000,Mercedes,HAM,2,True,2021-06-06 12:47:13.441,105.62,4633.432000000001,4658.854347830001
76,0 days 01:20:45.096000,44,0 days 00:01:46.044000,26,2,,,0 days 00:00:37.855000,0 days 00:00:42.966000,0 days 00:00:25.223000,0 days 01:19:36.907000,0 days 01:20:19.873000,0 days 01:20:45.096000,207.0,226.0,317.0,319.0,HARD,15.0,True,0 days 01:18:59.052000,Mercedes,HAM,1,True,2021-06-06 12:48:59.061,106.04400000000001,4739.052000000001,4764.474347830001
